,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,term,wave,samp,zern
102,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,13,3,4,0.01083026
103,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,14,3,4,-0.002730475
104,600,nominal,SYS_03_(Preload_deformation)\,5,_Timestep_00006,_20231130\,SYS_03_(Preload_deformation)\05_Timestep_00006_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,15,3,4,0.00212924
105,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,1,3,4,-0.402919848
106,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,2,3,4,0.001230477
107,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,3,3,4,-0.003488308
108,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,4,3,4,-0.101532583
109,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,5,3,4,-0.075995614
110,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,6,3,4,0.149737874
111,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,7,3,4,0.000833946
