,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,wfe
110,3,central hub,Invar,SYS_24_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_24_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.06803626269147627
111,3,central hub,Invar,SYS_24_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_24_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.06940701472054266
112,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.06457021888984787
113,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.11068658677704399
114,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.06441181423339215
115,8,central hub,Invar,SYS_24_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_24_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.06903748877399872
116,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.04177569859617555
117,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.09516298381387991
118,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.06178759374683852
119,13,central hub,Invar,SYS_24_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_24_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.06989443756109281
120,18,central hub,Invar,SYS_24_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_24_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.02014279773113553
121,18,central hub,Invar,SYS_24_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_24_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.08318696665167051
