,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,M2_offset_init,M2_offset_final,wfe
58,28,sandwich hub,Invar,SYS_20_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_20_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69022903619047,0.06854219389022392
59,28,sandwich hub,Invar,SYS_20_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_20_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69022903619047,0.08896008012480809
60,33,sandwich hub,Invar,SYS_20_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_20_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69126778517789,0.020482783909335528
61,33,sandwich hub,Invar,SYS_20_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_20_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69126778517789,0.14473413190214615
62,33,sandwich hub,Invar,SYS_20_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_20_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69126778517789,0.08396655056111367
63,33,sandwich hub,Invar,SYS_20_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_20_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69126778517789,0.1071890828337246
64,38,sandwich hub,Invar,SYS_20_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_20_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69231752030741,0.023157100087909152
65,38,sandwich hub,Invar,SYS_20_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_20_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69231752030741,0.2030630697326739
66,38,sandwich hub,Invar,SYS_20_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_20_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69231752030741,0.10382278497457996
67,38,sandwich hub,Invar,SYS_20_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_20_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69231752030741,0.12824351730374545
68,43,sandwich hub,Invar,SYS_20_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_20_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69338143052515,0.026447826509875632
69,43,sandwich hub,Invar,SYS_20_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_20_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69338143052515,0.2650694292891288
70,43,sandwich hub,Invar,SYS_20_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_20_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69338143052515,0.12615034008958495
71,43,sandwich hub,Invar,SYS_20_(Static_Structural)\,35,_Timestep_00009,_20240411\,SYS_20_(Static_Structural)\35_Timestep_00009_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69338143052515,0.1510269950290139
72,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.67881134162694,0.02971278967895187
73,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.67881134162694,0.6584884982536412
74,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.67881134162694,0.25846653236808964
75,3,central hub,Ti,SYS_16_(Static_Structural)\,3,_Timestep_00001,_20240411\,SYS_16_(Static_Structural)\03_Timestep_00001_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.67881134162694,0.2375780660296416
76,8,central hub,Ti,SYS_16_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_16_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68135128275043,0.026257317952108644
77,8,central hub,Ti,SYS_16_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_16_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68135128275043,0.5018863398087259
78,8,central hub,Ti,SYS_16_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_16_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68135128275043,0.1977257861640197
